clip_id,source,parent_id,material,interaction,wetness,rigidity,resonance,granularity,continuity,notes
214faa78c74f,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_03_WALK M SLOW_KMR81-chunk3.wav
8928582b051d,ulfc,,rock,step,1,5,3,2,3,path=chunks/DRESS_ASPH_06_JOG_KMR81-chunk6.wav
49da1206b2b3,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_08_STAIR SLOW_416-chunk2.wav
0d55c141be4d,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_06_JOG_416-chunk10.wav
1c2f233404a2,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_07_RUN_416-chunk9.wav
ade847c99bec,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_03_WALK M SLOW_416-chunk2.wav
92a9f606575f,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_05_WALK FAST_416-chunk13.wav
4d07eb321a1c,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_09_STAIR FAST_416-chunk4.wav
60ac1c64f52f,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_03_WALK M SLOW_416-chunk7.wav
aa218f089cf8,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_09_STAIR FAST_416-chunk3.wav
c4da77594d89,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_02_WALK X SLOW_KMR81-chunk1.wav
cfb02eac013a,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_09_STAIR FAST_KMR81-chunk7.wav
2a1e121ca0bc,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_08_STAIR SLOW_416-chunk7.wav
1a68843f4568,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_02_WALK X SLOW_416-chunk4.wav
8293e17ee34a,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_05_WALK FAST_KMR81-chunk1.wav
df73030172df,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_03_WALK M SLOW_416-chunk4.wav
ede4149c0a4f,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_05_WALK FAST_KMR81-chunk20.wav
524f5a636efd,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_07_RUN_416-chunk24.wav
d51dde77ee62,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_06_JOG_KMR81-chunk17.wav
7b664181c9c1,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_06_JOG_416-chunk1.wav
9f05b262ecf3,ulfc,,rock,step,1,5,3,2,3,path=chunks/FLAT_ASPH_07_RUN_KMR81-chunk8.wav
7fbad5469e6b,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_08_STAIR SLOW_KMR81-chunk3.wav
368ae03e6c70,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_06_JOG_KMR81-chunk19.wav
136fd74472ba,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_06_JOG_KMR81-chunk15.wav
0aeb9723a06b,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_03_WALK M SLOW_416-chunk12.wav
71e323528eed,ulfc,,rock,step,1,5,3,2,3,path=chunks/SNEAK_CONC_07_RUN_KMR81-chunk11.wav
84d32ae3c7e9,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_09_STAIR FAST_KMR81-chunk1.wav
5c764ab0da1d,ulfc,,rock,step,1,5,3,2,3,path=chunks/FLAT_CONC_08_STAIR SLOW_KMR81-chunk11.wav
8908be60868e,ulfc,,rock,step,1,5,3,2,3,path=chunks/FLAT_CONC_09_STAIR FAST_416-chunk17.wav
818748843232,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_04_WALK MED_KMR81-chunk11.wav
91a37754d434,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_06_JOG_416-chunk16.wav
1f0934d285f4,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_09_STAIR FAST_416-chunk7.wav
59dcb63054aa,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_07_RUN_KMR81-chunk12.wav
87b70567c6a3,ulfc,,rock,step,1,5,3,2,3,path=chunks/FLAT_CONC_06_JOG_416-chunk9.wav
a3f1ae89a4f8,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_02_WALK X SLOW_416-chunk5.wav
255df23b96a7,ulfc,,rock,step,1,5,3,2,3,path=chunks/FLAT_CONC_07_RUN_KMR81-chunk19.wav
6637e6a22514,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_03_WALK M SLOW_416-chunk9.wav
565f854fad55,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_06_JOG_416-chunk21.wav
0175ce539ead,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_06_JOG_KMR81-chunk6.wav
978256658fd1,ulfc,,rock,step,1,5,3,2,3,path=chunks/DRESS_CONC_07_RUN_416-chunk10.wav
7ddcad27b299,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_06_JOG_KMR81-chunk15.wav
76150dff6d9a,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_02_WALK X SLOW_KMR81-chunk5.wav
f4c5582e831e,ulfc,,rock,step,1,5,3,2,3,path=chunks/SNEAK_ASPH_07_RUN_KMR81-chunk4.wav
1425d531862e,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_07_RUN_KMR81-chunk17.wav
ddc82411c294,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_02_WALK X SLOW_KMR81-chunk6.wav
eb2105eb254b,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_04_WALK MED_416-chunk15.wav
179b2a504152,ulfc,,rock,step,1,5,3,2,3,path=chunks/DRESS_CONC_07_RUN_416-chunk11.wav
5e693b3c9f10,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_ASPH_06_JOG_416-chunk5.wav
77ac49072fe3,ulfc,,rock,step,1,5,3,2,3,path=chunks/DRESS_ASPH_06_JOG_KMR81-chunk0.wav
38caeeb7519f,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_04_WALK MED_416-chunk2.wav
9692697a6698,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_03_WALK M SLOW_416-chunk10.wav
133ba84ac006,ulfc,,rock,step,1,5,3,2,3,path=chunks/DRESS_CONC_06_JOG_416-chunk19.wav
a0bae9ad7290,ulfc,,rock,step,1,5,3,2,3,path=chunks/DRESS_CONC_07_RUN_416-chunk20.wav
7d46c7f93ec0,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_08_STAIR SLOW_416-chunk11.wav
af098b25a3a3,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_01_WALK XX SLOW_KMR81-chunk5.wav
af725610fde0,ulfc,,rock,step,1,5,3,2,3,path=chunks/FLAT_CONC_07_RUN_416-chunk12.wav
f9efcbeb6642,ulfc,,rock,step,1,5,3,2,3,path=chunks/HEEL_CONC_03_WALK M SLOW_KMR81-chunk7.wav
4611e157d3b0,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_ASPH_09_STAIR FAST_416-chunk17.wav
4a344c4247dd,ulfc,,rock,step,1,5,3,2,3,path=chunks/BOOT_CONC_06_JOG_KMR81-chunk18.wav
3777eba41da4,ulfc,,rock,step,1,5,3,2,3,path=chunks/FLAT_CONC_06_JOG_KMR81-chunk8.wav
270acf639659,ulfc,,rock,impact,1,5,3,2,1,path=chunks/SNEAK_CONC_11_LAND_416-chunk8.wav
3cc69e6ab19d,ulfc,,rock,impact,1,5,3,2,1,path=chunks/SNEAK_ASPH_10_STOMP_416-chunk13.wav
2c29ee0be6da,ulfc,,rock,impact,1,5,3,2,1,path=chunks/BOOT_ASPH_11_LAND_416-chunk3.wav
0450bb2a5326,ulfc,,rock,impact,1,5,3,2,1,path=chunks/DRESS_CONC_11_LAND_KMR81-chunk4.wav
1a231ebec6c3,ulfc,,rock,impact,1,5,3,2,1,path=chunks/HEEL_CONC_11_LAND_KMR81-chunk7.wav
652d94d7bec2,ulfc,,rock,impact,1,5,3,2,1,path=chunks/SNEAK_CONC_11_LAND_KMR81-chunk2.wav
a6523f02a889,ulfc,,rock,impact,1,5,3,2,1,path=chunks/FLAT_CONC_10_STOMP_KMR81-chunk3.wav
ebf3a7f65e37,ulfc,,rock,impact,1,5,3,2,1,path=chunks/BOOT_ASPH_10_STOMP_416-chunk11.wav
d5cdf36a33f5,ulfc,,rock,impact,1,5,3,2,1,path=chunks/HEEL_CONC_11_LAND_KMR81-chunk8.wav
9436b860d263,ulfc,,rock,impact,1,5,3,2,1,path=chunks/DRESS_CONC_10_STOMP_416-chunk15.wav
269054fee26b,ulfc,,rock,impact,1,5,3,2,1,path=chunks/DRESS_ASPH_10_STOMP_416-chunk2.wav
fa28cfff50f1,ulfc,,rock,impact,1,5,3,2,1,path=chunks/FLAT_ASPH_11_LAND_KMR81-chunk6.wav
0acd5beb0476,ulfc,,rock,impact,1,5,3,2,1,path=chunks/FLAT_ASPH_11_LAND_416-chunk2.wav
51377336c163,ulfc,,rock,impact,1,5,3,2,1,path=chunks/BOOT_CONC_11_LAND_416-chunk9.wav
515590af9bb0,ulfc,,rock,impact,1,5,3,2,1,path=chunks/SNEAK_CONC_10_STOMP_KMR81-chunk2.wav
9ff23630e875,ulfc,,rock,impact,1,5,3,2,1,path=chunks/HEEL_ASPH_10_STOMP_416-chunk7.wav
03c1a0f09236,ulfc,,rock,impact,1,5,3,2,1,path=chunks/BOOT_CONC_11_LAND_416-chunk10.wav
373a1edc5e05,ulfc,,rock,impact,1,5,3,2,1,path=chunks/BOOT_CONC_10_STOMP_416-chunk4.wav
76b7864c8868,ulfc,,rock,impact,1,5,3,2,1,path=chunks/DRESS_CONC_10_STOMP_416-chunk11.wav
15b3022b8c58,ulfc,,rock,impact,1,5,3,2,1,path=chunks/DRESS_CONC_10_STOMP_KMR81-chunk5.wav
71ae2608fe27,ulfc,,rock,impact,1,5,3,2,1,path=chunks/SNEAK_CONC_11_LAND_416-chunk9.wav
