pareja,env_parent,fine_parent,align,n_bands,banda_idx,centro_hz,edge_lo_hz,edge_hi_hz,rms_db_abs,rms_db_rel_pico,es_huerfana,n_huerfanas_bandpass_grupo,n_huerfanas_ref_envolvente_grupo,coincide_con_referencia_grupo
trueno_hecho_de_agua,trueno,goteo,False,2,0,259.23,80.0,840.0,-29.0514,0.0,False,1,1,True
trueno_hecho_de_agua,trueno,goteo,False,2,1,2721.91,840.0,8820.0,-84.8233,-55.7719,True,1,1,True
trueno_hecho_de_agua,trueno,goteo,False,4,0,144.01,80.0,259.23,-31.3467,0.0,False,2,2,True
trueno_hecho_de_agua,trueno,goteo,False,4,1,466.64,259.23,840.0,-33.986,-2.6393,False,2,2,True
trueno_hecho_de_agua,trueno,goteo,False,4,2,1512.09,840.0,2721.91,-87.6381,-56.2914,True,2,2,True
trueno_hecho_de_agua,trueno,goteo,False,4,3,4899.72,2721.91,8820.0,-116.1767,-84.8301,True,2,2,True
trueno_hecho_de_agua,trueno,goteo,False,6,0,118.38,80.0,175.18,-34.102,-2.6761,False,3,3,True
trueno_hecho_de_agua,trueno,goteo,False,6,1,259.23,175.18,383.6,-31.4259,0.0,False,3,3,True
trueno_hecho_de_agua,trueno,goteo,False,6,2,567.65,383.6,840.0,-43.4335,-12.0076,False,3,3,True
trueno_hecho_de_agua,trueno,goteo,False,6,3,1243.02,840.0,1839.4,-87.7706,-56.3447,True,3,3,True
trueno_hecho_de_agua,trueno,goteo,False,6,4,2721.91,1839.4,4027.84,-116.4586,-85.0327,True,3,3,True
trueno_hecho_de_agua,trueno,goteo,False,6,5,5960.33,4027.84,8820.0,-126.0676,-94.6417,True,3,3,True
trueno_hecho_de_agua,trueno,goteo,False,8,0,107.33,80.0,144.01,-35.9125,-2.7392,False,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,8,1,193.21,144.01,259.23,-33.1733,0.0,False,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,8,2,347.8,259.23,466.64,-33.7368,-0.5635,False,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,8,3,626.08,466.64,840.0,-53.5842,-20.4109,False,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,8,4,1127.01,840.0,1512.09,-87.0742,-53.9009,True,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,8,5,2028.73,1512.09,2721.91,-103.6429,-70.4696,True,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,8,6,3651.93,2721.91,4899.72,-112.1441,-78.9708,True,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,8,7,6573.85,4899.72,8820.0,-135.7843,-102.611,True,4,4,True
trueno_hecho_de_agua,trueno,goteo,False,12,0,97.32,80.0,118.38,-37.5551,-3.2983,False,7,7,True
trueno_hecho_de_agua,trueno,goteo,False,12,1,144.01,118.38,175.18,-36.6283,-2.3715,False,7,7,True
trueno_hecho_de_agua,trueno,goteo,False,12,2,213.1,175.18,259.23,-34.7207,-0.4639,False,7,7,True
trueno_hecho_de_agua,trueno,goteo,False,12,3,315.34,259.23,383.6,-34.2568,0.0,False,7,7,True
