pareja,grupo,etapa,descriptor,notas,env_parent,fine_parent,method,n_bands,align,warp,color_mix,a_floor_db,stats_finish,duration_s,seed,mci,sso,dop,bri,fci,register_target_hz,register_achieved_hz,register_error_hz,register_before_move_hz,register_clamped,moved_parent,align_noop,warp_method,n_anchors,n_onsets_matched,n_onsets_total,warp_max_rate_dev,parametros_inertes,n_bandas_huerfanas_a,crest_db,rms_grave_db,rms_aguda_db,exportado,rank_export,wav_path,factor_rms_aplicado,metodo_igualacion,pico_recortado,rms_final_db_vs_objetivo,rank_etapa1_ref,render_s
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.00__warp-off,,trueno,canica,chimera,2,False,False,0.0,-40.0,False,6.0,42,0.256307,0.084442,0.428571,0.0,0.012397,,,,,False,,False,,,,,,,1,18.925449,-29.193763,-43.935534,True,muestra1,escucha_AB/fusion_v12/trueno_hecho_de_canica/muestra1__align-off__nb2__mix0.00__warp-off.wav,0.372056,linear,False,0.0,,3.941774
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.00__warp-on,,trueno,canica,chimera,2,False,True,0.0,-40.0,False,6.0,42,0.121202,0.084442,0.666667,0.0,-0.133339,,,,,False,,False,signal_warp,19,19,73,0.908065,,1,18.873752,-25.669611,-40.755816,,,,,,,,,1.841424
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.25__warp-off,,trueno,canica,chimera,2,False,False,0.25,-40.0,False,6.0,42,0.256658,0.084442,0.428571,0.0,0.012591,,,,,False,,False,,,,,,,1,18.927258,-29.194533,-43.934792,,,,,,,,,0.917755
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.25__warp-on,,trueno,canica,chimera,2,False,True,0.25,-40.0,False,6.0,42,0.121279,0.084442,0.666667,0.0,-0.133297,,,,,False,,False,signal_warp,19,19,73,0.908065,,1,18.872192,-25.669288,-40.752587,,,,,,,,,1.877184
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.50__warp-off,,trueno,canica,chimera,2,False,False,0.5,-40.0,False,6.0,42,0.257551,0.084442,0.428571,0.0,0.013082,,,,,False,,False,,,,,,,1,18.937594,-29.196887,-43.886862,,,,,,,,,0.917541
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.50__warp-on,,trueno,canica,chimera,2,False,True,0.5,-40.0,False,6.0,42,0.121802,0.084442,0.666667,0.0,-0.133009,,,,,False,,False,signal_warp,19,19,73,0.908065,,1,18.862772,-25.667355,-40.715266,,,,,,,,,1.841682
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.75__warp-off,,trueno,canica,chimera,2,False,False,0.75,-40.0,False,6.0,42,0.202988,0.084442,0.384615,0.0,-0.003741,,,,,False,,False,,,,,,,1,18.985214,-29.135306,-42.403833,,,,,,,,,0.914339
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix0.75__warp-on,,trueno,canica,chimera,2,False,True,0.75,-40.0,False,6.0,42,0.125115,0.084442,0.68,0.0,-0.135187,,,,,False,,False,signal_warp,19,19,73,0.908065,,1,18.798084,-25.654671,-39.937086,,,,,,,,,1.849053
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix1.00__warp-off,,trueno,canica,chimera,2,False,False,1.0,-40.0,False,6.0,42,0.02516,0.084442,1.0,0.0,-0.286162,,,,,False,,False,,,,,,,1,25.513263,-33.743483,-39.026329,True,muestra7,escucha_AB/fusion_v12/trueno_hecho_de_canica/muestra7__align-off__nb2__mix1.00__warp-off.wav,0.794327,linear,False,0.0,,0.915083
trueno_hecho_de_canica,chimera_grid,1,align-off__nb2__mix1.00__warp-on,,trueno,canica,chimera,2,False,True,1.0,-40.0,False,6.0,42,0.108515,0.084442,0.65,0.0,-0.135317,,,,,False,,False,signal_warp,19,19,73,0.908065,,1,18.593799,-25.99947,-32.438398,,,,,,,,,1.85342
