method,combo,anchor,alpha,beta,gamma,path
baseline_sum,rolling_drop,fs365161,,,,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_sum/full/rolling_drop_anchor0.wav
baseline_interp,rolling_drop,fs365161,,,,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_interp/full/rolling_drop_anchor0.wav
A,rolling_drop,fs365161,0.3,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g0.0_anchor0.wav
A,rolling_drop,fs365161,0.3,0.3,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g0.5_anchor0.wav
A,rolling_drop,fs365161,0.3,0.3,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g1.0_anchor0.wav
A,rolling_drop,fs365161,0.3,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g0.0_anchor0.wav
A,rolling_drop,fs365161,0.3,0.6,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g0.5_anchor0.wav
A,rolling_drop,fs365161,0.3,0.6,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g1.0_anchor0.wav
A,rolling_drop,fs365161,0.3,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g0.0_anchor0.wav
A,rolling_drop,fs365161,0.3,0.9,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g0.5_anchor0.wav
A,rolling_drop,fs365161,0.3,0.9,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g1.0_anchor0.wav
A,rolling_drop,fs365161,0.6,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g0.0_anchor0.wav
A,rolling_drop,fs365161,0.6,0.3,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g0.5_anchor0.wav
A,rolling_drop,fs365161,0.6,0.3,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g1.0_anchor0.wav
A,rolling_drop,fs365161,0.6,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g0.0_anchor0.wav
A,rolling_drop,fs365161,0.6,0.6,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g0.5_anchor0.wav
A,rolling_drop,fs365161,0.6,0.6,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g1.0_anchor0.wav
A,rolling_drop,fs365161,0.6,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g0.0_anchor0.wav
A,rolling_drop,fs365161,0.6,0.9,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g0.5_anchor0.wav
A,rolling_drop,fs365161,0.6,0.9,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g1.0_anchor0.wav
A,rolling_drop,fs365161,0.9,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g0.0_anchor0.wav
A,rolling_drop,fs365161,0.9,0.3,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g0.5_anchor0.wav
A,rolling_drop,fs365161,0.9,0.3,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g1.0_anchor0.wav
