method,combo,anchor,alpha,beta,gamma,d_src_mat,d_tgt_mat,inter_mat,path,d_int,inter_int
baseline_sum,rolling_drop,fs365161,,,,101.58946990966797,98.29573059082031,0.5082390775044477,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_sum/full/rolling_drop_anchor0.wav,93.98597717285156,
baseline_interp,rolling_drop,fs365161,,,,18.46895408630371,12.234561920166016,0.6015257041509668,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_interp/full/rolling_drop_anchor0.wav,11.942845344543457,
A,rolling_drop,fs365161,0.3,0.3,0.0,27.900949478149414,20.357534408569336,0.5781563619583561,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g0.0_anchor0.wav,15.974038124084473,
A,rolling_drop,fs365161,0.3,0.3,0.5,39.423683166503906,30.58043670654297,0.5631623286948819,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g0.5_anchor0.wav,25.717775344848633,
A,rolling_drop,fs365161,0.3,0.3,1.0,52.55708694458008,43.28512954711914,0.5483709462059824,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g1.0_anchor0.wav,38.2914924621582,
A,rolling_drop,fs365161,0.3,0.6,0.0,27.900949478149414,20.357534408569336,0.5781563619583561,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g0.0_anchor0.wav,15.974038124084473,
A,rolling_drop,fs365161,0.3,0.6,0.5,39.423683166503906,30.58043670654297,0.5631623286948819,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g0.5_anchor0.wav,25.717775344848633,
A,rolling_drop,fs365161,0.3,0.6,1.0,52.55708694458008,43.28512954711914,0.5483709462059824,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g1.0_anchor0.wav,38.2914924621582,
A,rolling_drop,fs365161,0.3,0.9,0.0,27.900949478149414,20.357534408569336,0.5781563619583561,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g0.0_anchor0.wav,15.974038124084473,
A,rolling_drop,fs365161,0.3,0.9,0.5,39.423683166503906,30.58043670654297,0.5631623286948819,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g0.5_anchor0.wav,25.717775344848633,
A,rolling_drop,fs365161,0.3,0.9,1.0,52.55708694458008,43.28512954711914,0.5483709462059824,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g1.0_anchor0.wav,38.2914924621582,
A,rolling_drop,fs365161,0.6,0.3,0.0,30.54903221130371,22.4898681640625,0.5759740868405364,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g0.0_anchor0.wav,18.04338836669922,
A,rolling_drop,fs365161,0.6,0.3,0.5,42.40068817138672,33.34043884277344,0.5598106318499843,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g0.5_anchor0.wav,28.45956802368164,
A,rolling_drop,fs365161,0.6,0.3,1.0,55.523101806640625,46.19213104248047,0.5458681089434729,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g1.0_anchor0.wav,41.22130584716797,
A,rolling_drop,fs365161,0.6,0.6,0.0,30.54903221130371,22.4898681640625,0.5759740868405364,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g0.0_anchor0.wav,18.04338836669922,
A,rolling_drop,fs365161,0.6,0.6,0.5,42.40068817138672,33.34043884277344,0.5598106318499843,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g0.5_anchor0.wav,28.45956802368164,
A,rolling_drop,fs365161,0.6,0.6,1.0,55.523101806640625,46.19213104248047,0.5458681089434729,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g1.0_anchor0.wav,41.22130584716797,
A,rolling_drop,fs365161,0.6,0.9,0.0,30.54903221130371,22.4898681640625,0.5759740868405364,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g0.0_anchor0.wav,18.04338836669922,
A,rolling_drop,fs365161,0.6,0.9,0.5,42.40068817138672,33.34043884277344,0.5598106318499843,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g0.5_anchor0.wav,28.45956802368164,
A,rolling_drop,fs365161,0.6,0.9,1.0,55.523101806640625,46.19213104248047,0.5458681089434729,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.9_g1.0_anchor0.wav,41.22130584716797,
A,rolling_drop,fs365161,0.9,0.3,0.0,33.58837127685547,25.22793197631836,0.5710724649202075,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g0.0_anchor0.wav,20.595436096191406,
A,rolling_drop,fs365161,0.9,0.3,0.5,46.059261322021484,36.922943115234375,0.5550498644115024,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g0.5_anchor0.wav,31.97859764099121,
A,rolling_drop,fs365161,0.9,0.3,1.0,58.50007247924805,49.12552261352539,0.5435516749364064,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g1.0_anchor0.wav,44.17048645019531,
A,rolling_drop,fs365161,0.9,0.6,0.0,33.58837127685547,25.22793197631836,0.5710724649202075,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.6_g0.0_anchor0.wav,20.595436096191406,
A,rolling_drop,fs365161,0.9,0.6,0.5,46.059261322021484,36.922943115234375,0.5550498644115024,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.6_g0.5_anchor0.wav,31.97859764099121,
A,rolling_drop,fs365161,0.9,0.6,1.0,58.50007247924805,49.12552261352539,0.5435516749364064,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.6_g1.0_anchor0.wav,44.17048645019531,
A,rolling_drop,fs365161,0.9,0.9,0.0,33.58837127685547,25.22793197631836,0.5710724649202075,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.9_g0.0_anchor0.wav,20.595436096191406,
