method,combo,n_iters,prior,d_src_mat,d_tgt_mat,inter_mat
B,rolling_drop,50,0.05,10.241297721862793,6.438929080963135,0.6139783254933774
B,rolling_drop,50,0.2,10.229206085205078,6.424618244171143,0.6142256506541398
B,rolling_drop,150,0.05,11.831499099731445,8.048036575317383,0.5951597307167601
B,rolling_drop,150,0.2,11.713372230529785,7.962486743927002,0.5953169437299167
B,rolling_drop,50,0.05,10.773401260375977,7.062332630157471,0.6040346489745548
B,rolling_drop,50,0.2,10.767629623413086,7.0575714111328125,0.6040677803263454
B,rolling_drop,150,0.05,12.564315795898438,9.090197563171387,0.5802169546357298
B,rolling_drop,150,0.2,12.498194694519043,9.014899253845215,0.5809575658404253
B,liquid_rock_impact,50,0.05,1.2727197408676147,6.470033645629883,0.1643756009228863
B,liquid_rock_impact,50,0.2,1.2726863622665405,6.469999313354492,0.16437272742575681
B,liquid_rock_impact,150,0.05,1.2493211030960083,6.442910671234131,0.16241334629342852
B,liquid_rock_impact,150,0.2,1.2489756345748901,6.442577362060547,0.16238276391761902
B,liquid_rock_impact,50,0.05,1.2763103246688843,6.473794460296631,0.16468297654247527
B,liquid_rock_impact,50,0.2,1.2762181758880615,6.473699569702148,0.16467506077075061
B,liquid_rock_impact,150,0.05,1.2505934238433838,6.444650173187256,0.16251511832106713
B,liquid_rock_impact,150,0.2,1.250634789466858,6.444709300994873,0.16251837144676656
B,wet_gravel_scrape,50,0.05,1.2405790090560913,8.565569877624512,0.12651031748198543
B,wet_gravel_scrape,50,0.2,1.240544319152832,8.565534591674805,0.12650768266371434
B,wet_gravel_scrape,150,0.05,1.080702781677246,8.259684562683105,0.11570213757934389
B,wet_gravel_scrape,150,0.2,1.089328646659851,8.282861709594727,0.11622988918664592
B,wet_gravel_scrape,50,0.05,1.2449711561203003,8.56990909576416,0.12684527208107507
B,wet_gravel_scrape,50,0.2,1.2449548244476318,8.569891929626465,0.12684404102427915
B,wet_gravel_scrape,150,0.05,1.1111574172973633,8.338225364685059,0.11759047578202339
B,wet_gravel_scrape,150,0.2,1.1154955625534058,8.348123550415039,0.11787198418699221
