method,combo,anchor,n_iters,lambda_prior,path
B,rolling_drop,fs365161,50,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters50_prior0.05_anchor0.wav
B,rolling_drop,fs365161,50,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters50_prior0.2_anchor0.wav
B,rolling_drop,fs365161,150,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters150_prior0.05_anchor0.wav
B,rolling_drop,fs365161,150,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters150_prior0.2_anchor0.wav
B,rolling_drop,fs460174,50,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters50_prior0.05_anchor1.wav
B,rolling_drop,fs460174,50,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters50_prior0.2_anchor1.wav
B,rolling_drop,fs460174,150,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters150_prior0.05_anchor1.wav
B,rolling_drop,fs460174,150,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/rolling_drop_iters150_prior0.2_anchor1.wav
B,liquid_rock_impact,9fb049ed22d9,50,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters50_prior0.05_anchor0.wav
B,liquid_rock_impact,9fb049ed22d9,50,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters50_prior0.2_anchor0.wav
B,liquid_rock_impact,9fb049ed22d9,150,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters150_prior0.05_anchor0.wav
B,liquid_rock_impact,9fb049ed22d9,150,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters150_prior0.2_anchor0.wav
B,liquid_rock_impact,b6794c42e525,50,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters50_prior0.05_anchor1.wav
B,liquid_rock_impact,b6794c42e525,50,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters50_prior0.2_anchor1.wav
B,liquid_rock_impact,b6794c42e525,150,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters150_prior0.05_anchor1.wav
B,liquid_rock_impact,b6794c42e525,150,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/liquid_rock_impact_iters150_prior0.2_anchor1.wav
B,wet_gravel_scrape,23510f4f2a43,50,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.05_anchor0.wav
B,wet_gravel_scrape,23510f4f2a43,50,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.2_anchor0.wav
B,wet_gravel_scrape,23510f4f2a43,150,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.05_anchor0.wav
B,wet_gravel_scrape,23510f4f2a43,150,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.2_anchor0.wav
B,wet_gravel_scrape,72e40b413bdb,50,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.05_anchor1.wav
B,wet_gravel_scrape,72e40b413bdb,50,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters50_prior0.2_anchor1.wav
B,wet_gravel_scrape,72e40b413bdb,150,0.05,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.05_anchor1.wav
B,wet_gravel_scrape,72e40b413bdb,150,0.2,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_b/b_full/wet_gravel_scrape_iters150_prior0.2_anchor1.wav
