method,combo,alpha,beta,gamma,source_a,out,wet,gran,rig,res,cont
D,rolling_drop,0.3,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.3_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/rolling_drop_a0.3_b0.3_g0.0_anc0_DSP.wav,0.9,0.7,0.0,0.2,0.8
D,rolling_drop,0.3,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.6_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/rolling_drop_a0.3_b0.6_g0.0_anc0_DSP.wav,0.9,0.7,0.0,0.2,0.8
D,rolling_drop,0.3,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.3_b0.9_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/rolling_drop_a0.3_b0.9_g0.0_anc0_DSP.wav,0.9,0.7,0.0,0.2,0.8
D,rolling_drop,0.6,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.6_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/rolling_drop_a0.6_b0.6_g0.0_anc0_DSP.wav,0.9,0.7,0.0,0.2,0.8
D,rolling_drop,0.6,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.6_b0.3_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/rolling_drop_a0.6_b0.3_g0.0_anc0_DSP.wav,0.9,0.7,0.0,0.2,0.8
D,liquid_rock_impact,0.9,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.9_g0.0_anchor1.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/liquid_rock_impact_a0.9_b0.9_g0.0_anc1_DSP.wav,0.85,0.0,0.4,0.3,0.0
D,liquid_rock_impact,0.9,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.6_g0.0_anchor1.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/liquid_rock_impact_a0.9_b0.6_g0.0_anc1_DSP.wav,0.85,0.0,0.4,0.3,0.0
D,liquid_rock_impact,0.9,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.3_g0.0_anchor1.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/liquid_rock_impact_a0.9_b0.3_g0.0_anc1_DSP.wav,0.85,0.0,0.4,0.3,0.0
D,liquid_rock_impact,0.6,0.6,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.6_g1.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/liquid_rock_impact_a0.6_b0.6_g1.0_anc0_DSP.wav,0.85,0.0,0.4,0.3,0.0
D,liquid_rock_impact,0.6,0.9,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.9_g1.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/liquid_rock_impact_a0.6_b0.9_g1.0_anc0_DSP.wav,0.85,0.0,0.4,0.3,0.0
D,wet_gravel_scrape,0.6,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.9_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.9_g0.0_anc0_DSP.wav,0.75,0.9,0.3,0.0,0.0
D,wet_gravel_scrape,0.6,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.6_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.6_g0.0_anc0_DSP.wav,0.75,0.9,0.3,0.0,0.0
D,wet_gravel_scrape,0.6,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.3_g0.0_anchor0.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.3_g0.0_anc0_DSP.wav,0.75,0.9,0.3,0.0,0.0
D,wet_gravel_scrape,0.6,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.6_g0.0_anchor1.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.6_g0.0_anc1_DSP.wav,0.75,0.9,0.3,0.0,0.0
D,wet_gravel_scrape,0.6,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.9_g0.0_anchor1.wav,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_d/d_full/wet_gravel_scrape_a0.6_b0.9_g0.0_anc1_DSP.wav,0.75,0.9,0.3,0.0,0.0
