method,run,name,verdict,reasons,rms_db,peak_db,crest_db,flatness,centroid_hz,dynamic_range_db,path
baseline_interp,full,liquid_rock_impact_anchor0.wav,garbage,silent (rms=-51.9 dBFS); no transients (peak=-20.0 dBFS),-51.86,-20.01,31.85,0.312,3358.0,43.64,outputs/baseline_interp/full/liquid_rock_impact_anchor0.wav
baseline_interp,full,liquid_rock_impact_anchor1.wav,suspicious,silent (rms=-52.1 dBFS),-52.13,-16.82,35.31,0.318,3380.0,41.93,outputs/baseline_interp/full/liquid_rock_impact_anchor1.wav
baseline_interp,full,rolling_drop_anchor0.wav,suspicious,silent (rms=-45.5 dBFS),-45.51,-17.72,27.79,0.125,3267.0,29.8,outputs/baseline_interp/full/rolling_drop_anchor0.wav
baseline_interp,full,rolling_drop_anchor1.wav,good,,-42.96,-14.32,28.65,0.121,2911.0,32.65,outputs/baseline_interp/full/rolling_drop_anchor1.wav
baseline_interp,full,wet_gravel_scrape_anchor0.wav,garbage,silent (rms=-49.8 dBFS); no transients (peak=-20.0 dBFS),-49.83,-20.04,29.79,0.296,3770.0,41.54,outputs/baseline_interp/full/wet_gravel_scrape_anchor0.wav
baseline_interp,full,wet_gravel_scrape_anchor1.wav,suspicious,silent (rms=-46.7 dBFS),-46.74,-19.36,27.38,0.301,3767.0,43.95,outputs/baseline_interp/full/wet_gravel_scrape_anchor1.wav
baseline_interp,quick,liquid_rock_impact_anchor0.wav,garbage,silent (rms=-73.8 dBFS); no transients (peak=-50.1 dBFS),-73.76,-50.14,23.63,0.343,3637.0,9.54,outputs/baseline_interp/quick/liquid_rock_impact_anchor0.wav
baseline_interp,quick,rolling_drop_anchor0.wav,garbage,silent (rms=-51.1 dBFS); no transients (peak=-38.6 dBFS),-51.14,-38.58,12.56,0.134,3786.0,4.23,outputs/baseline_interp/quick/rolling_drop_anchor0.wav
baseline_interp,quick,wet_gravel_scrape_anchor0.wav,garbage,silent (rms=-68.2 dBFS); no transients (peak=-47.6 dBFS),-68.19,-47.57,20.61,0.268,4255.0,8.22,outputs/baseline_interp/quick/wet_gravel_scrape_anchor0.wav
baseline_interp,quick_seq,liquid_rock_impact_anchor0.wav,garbage,silent (rms=-51.9 dBFS); no transients (peak=-20.0 dBFS),-51.86,-20.01,31.85,0.312,3358.0,43.64,outputs/baseline_interp/quick_seq/liquid_rock_impact_anchor0.wav
baseline_interp,quick_seq,rolling_drop_anchor0.wav,suspicious,silent (rms=-45.5 dBFS),-45.51,-17.72,27.79,0.125,3267.0,29.8,outputs/baseline_interp/quick_seq/rolling_drop_anchor0.wav
baseline_interp,quick_seq,wet_gravel_scrape_anchor0.wav,garbage,silent (rms=-49.8 dBFS); no transients (peak=-20.0 dBFS),-49.83,-20.04,29.79,0.296,3770.0,41.54,outputs/baseline_interp/quick_seq/wet_gravel_scrape_anchor0.wav
baseline_sum,full,liquid_rock_impact_anchor0.wav,good,,-18.87,-0.15,18.73,0.009,371.0,12.6,outputs/baseline_sum/full/liquid_rock_impact_anchor0.wav
baseline_sum,full,liquid_rock_impact_anchor1.wav,good,,-19.03,-0.0,19.03,0.009,373.0,11.77,outputs/baseline_sum/full/liquid_rock_impact_anchor1.wav
baseline_sum,full,rolling_drop_anchor0.wav,good,,-15.69,-2.26,13.43,0.011,587.0,7.57,outputs/baseline_sum/full/rolling_drop_anchor0.wav
baseline_sum,full,rolling_drop_anchor1.wav,good,,-11.3,0.0,11.3,0.009,435.0,9.98,outputs/baseline_sum/full/rolling_drop_anchor1.wav
baseline_sum,full,wet_gravel_scrape_anchor0.wav,good,,-19.21,-0.69,18.52,0.011,469.0,12.38,outputs/baseline_sum/full/wet_gravel_scrape_anchor0.wav
baseline_sum,full,wet_gravel_scrape_anchor1.wav,good,,-19.58,-0.0,19.58,0.011,472.0,12.62,outputs/baseline_sum/full/wet_gravel_scrape_anchor1.wav
baseline_sum,quick,liquid_rock_impact_anchor0.wav,good,,-19.84,-9.67,10.17,0.009,373.0,4.15,outputs/baseline_sum/quick/liquid_rock_impact_anchor0.wav
baseline_sum,quick,rolling_drop_anchor0.wav,good,,-16.1,-5.18,10.92,0.008,446.0,3.63,outputs/baseline_sum/quick/rolling_drop_anchor0.wav
baseline_sum,quick,wet_gravel_scrape_anchor0.wav,good,,-20.82,-8.99,11.83,0.01,411.0,5.86,outputs/baseline_sum/quick/wet_gravel_scrape_anchor0.wav
baseline_sum,quick_seq,liquid_rock_impact_anchor0.wav,good,,-18.87,-0.15,18.73,0.009,371.0,12.6,outputs/baseline_sum/quick_seq/liquid_rock_impact_anchor0.wav
baseline_sum,quick_seq,rolling_drop_anchor0.wav,good,,-15.69,-2.26,13.43,0.011,587.0,7.57,outputs/baseline_sum/quick_seq/rolling_drop_anchor0.wav
baseline_sum,quick_seq,wet_gravel_scrape_anchor0.wav,good,,-19.21,-0.69,18.52,0.011,469.0,12.38,outputs/baseline_sum/quick_seq/wet_gravel_scrape_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.3_g0.0_anchor0.wav,good,,-34.94,-2.49,32.44,0.288,3104.0,61.12,outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.0_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.3_g0.0_anchor1.wav,good,,-34.52,-0.0,34.52,0.293,3096.0,60.06,outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.0_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.3_g0.5_anchor0.wav,good,,-34.39,-1.69,32.7,0.294,3755.0,60.61,outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.5_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.3_g0.5_anchor1.wav,good,,-34.16,-0.0,34.16,0.286,3675.0,59.31,outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.5_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.3_g1.0_anchor0.wav,good,,-34.18,-1.41,32.77,0.233,4241.0,54.76,outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g1.0_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.3_g1.0_anchor1.wav,good,,-33.86,-0.0,33.86,0.232,4225.0,54.67,outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g1.0_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.6_g0.0_anchor0.wav,good,,-34.94,-2.49,32.44,0.288,3104.0,61.12,outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.0_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.6_g0.0_anchor1.wav,good,,-34.52,-0.0,34.52,0.293,3096.0,60.06,outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.0_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.6_g0.5_anchor0.wav,good,,-34.39,-1.69,32.7,0.294,3755.0,60.61,outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.5_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.6_g0.5_anchor1.wav,good,,-34.16,-0.0,34.16,0.286,3675.0,59.31,outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.5_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.6_g1.0_anchor0.wav,good,,-34.18,-1.41,32.77,0.233,4241.0,54.76,outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g1.0_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.6_g1.0_anchor1.wav,good,,-33.86,-0.0,33.86,0.232,4225.0,54.67,outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g1.0_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.9_g0.0_anchor0.wav,good,,-34.94,-2.49,32.44,0.288,3104.0,61.12,outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.0_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.9_g0.0_anchor1.wav,good,,-34.52,-0.0,34.52,0.293,3096.0,60.06,outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.0_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.9_g0.5_anchor0.wav,good,,-34.39,-1.69,32.7,0.294,3755.0,60.61,outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.5_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.9_g0.5_anchor1.wav,good,,-34.16,-0.0,34.16,0.286,3675.0,59.31,outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.5_anchor1.wav
method_a,full,liquid_rock_impact_a0.3_b0.9_g1.0_anchor0.wav,good,,-34.18,-1.41,32.77,0.233,4241.0,54.76,outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g1.0_anchor0.wav
method_a,full,liquid_rock_impact_a0.3_b0.9_g1.0_anchor1.wav,good,,-33.86,-0.0,33.86,0.232,4225.0,54.67,outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g1.0_anchor1.wav
